ID,Sales Person,Geo,Product,Date,Amount,Customers,Boxes
2019,Van Tuxwell,Australia,Spicy Special Slims,8/9/2021,"$9,009 ",262,361
2020,Rafaelita Blaksland,Australia,Spicy Special Slims,8/9/2021,"$7,112 ",180,264
2021,Marney O'Breen,Australia,Orange Choco,8/9/2021,$882 ,158,126
2022,Oby Sorrel,India,70% Dark Bites,8/9/2021,"$5,152 ",91,644
2023,Ches Bonnell,Canada,Almond Choco,8/9/2021,"$2,947 ",438,174
2024,Kaine Padly,USA,85% Dark Bars,8/9/2021,"$2,905 ",226,146
2025,Brien Boise,UK,Caramel Stuffed Bars,8/9/2021,"$2,548 ",267,107
2026,Jehu Rudeforth,New Zealand,Drinking Coco,8/9/2021,"$3,437 ",462,157
2027,Dennison Crosswaite,USA,Raspberry Choco,8/9/2021,"$5,740 ",80,410
2028,Gigi Bohling,UK,85% Dark Bars,8/9/2021,"$2,842 ",12,168
2029,Barr Faughny,USA,99% Dark & Pure,8/9/2021,"$9,863 ",348,429
2030,Andria Kimpton,USA,99% Dark & Pure,8/9/2021,"$2,772 ",250,164
2031,Brien Boise,Australia,Eclairs,8/9/2021,"$7,833 ",184,603
2032,Curtice Advani,India,Baker's Choco Chips,8/10/2021,"$10,248 ",61,684
2033,Andria Kimpton,UK,Raspberry Choco,8/10/2021,"$5,677 ",176,355
2034,Rafaelita Blaksland,Canada,Orange Choco,8/10/2021,"$8,596 ",282,1433
2035,Wilone O'Kielt,Canada,Spicy Special Slims,8/10/2021,"$6,657 ",104,267
2036,Gigi Bohling,India,Baker's Choco Chips,8/10/2021,"$8,134 ",231,678
2037,Jan Morforth,New Zealand,Caramel Stuffed Bars,8/10/2021,"$3,122 ",215,105
2038,Marney O'Breen,New Zealand,White Choc,8/10/2021,$875 ,213,55
2039,Dotty Strutley,UK,Caramel Stuffed Bars,8/10/2021,"$3,199 ",385,134
2040,Oby Sorrel,India,Orange Choco,8/10/2021,"$5,600 ",270,700
2041,Van Tuxwell,USA,Choco Coated Almonds,8/10/2021,"$2,646 ",37,177
2042,Dennison Crosswaite,Canada,99% Dark & Pure,8/10/2021,"$16,940 ",164,706
2043,Roddy Speechley,UK,Organic Choco Syrup,8/10/2021,"$9,191 ",114,368
2044,Gunar Cockshoot,Australia,Smooth Sliky Salty,8/10/2021,"$9,562 ",379,456
2045,Curtice Advani,New Zealand,Manuka Honey Choco,8/10/2021,$567 ,55,20
2046,Mallorie Waber,USA,Fruit & Nut Bars,8/10/2021,"$5,173 ",186,288
2047,Kaine Padly,New Zealand,Orange Choco,8/10/2021,"$4,781 ",273,342
2048,Gunar Cockshoot,India,Manuka Honey Choco,8/10/2021,"$6,111 ",73,191
2049,Dennison Crosswaite,New Zealand,Eclairs,8/10/2021,"$2,373 ",477,119
2050,Beverie Moffet,India,Raspberry Choco,8/10/2021,"$17,892 ",469,1278
2051,Gigi Bohling,USA,Caramel Stuffed Bars,8/10/2021,"$1,729 ",43,70
2052,Beverie Moffet,New Zealand,50% Dark Bites,8/10/2021,"$4,508 ",87,282
2053,Dotty Strutley,New Zealand,After Nines,8/11/2021,"$11,641 ",76,432
2054,Camilla Castle,Canada,Drinking Coco,8/11/2021,"$3,647 ",239,131
2055,Gigi Bohling,Canada,Organic Choco Syrup,8/11/2021,"$5,670 ",20,237
2056,Van Tuxwell,USA,Mint Chip Choco,8/11/2021,"$1,036 ",528,58
2057,Jehu Rudeforth,New Zealand,Raspberry Choco,8/11/2021,"$11,067 ",107,615
2058,Karlen McCaffrey,Canada,Caramel Stuffed Bars,8/11/2021,"$3,010 ",149,131
2059,Wilone O'Kielt,New Zealand,Almond Choco,8/11/2021,"$4,753 ",187,207
2060,Dennison Crosswaite,UK,Raspberry Choco,8/11/2021,"$11,690 ",278,616
2061,Husein Augar,India,Choco Coated Almonds,8/11/2021,"$1,428 ",95,96
2062,Madelene Upcott,UK,70% Dark Bites,8/11/2021,"$5,467 ",30,547
2063,Barr Faughny,Australia,Peanut Butter Cubes,8/11/2021,"$11,018 ",126,501
2064,Marney O'Breen,India,Baker's Choco Chips,8/11/2021,"$10,171 ",11,1272
2065,Camilla Castle,USA,Raspberry Choco,8/11/2021,"$4,935 ",286,260
2066,Mallorie Waber,India,After Nines,8/11/2021,"$2,499 ",20,81
2067,Jehu Rudeforth,Canada,Almond Choco,8/11/2021,"$2,492 ",91,139
2068,Karlen McCaffrey,UK,Baker's Choco Chips,8/11/2021,"$17,549 ",194,1755
2069,Van Tuxwell,UK,Manuka Honey Choco,8/11/2021,"$6,636 ",35,256
2070,Van Tuxwell,Canada,After Nines,8/11/2021,"$8,904 ",372,308
2071,Oby Sorrel,UK,Orange Choco,8/11/2021,"$16,702 ",324,1392
2072,Gigi Bohling,Canada,Drinking Coco,8/11/2021,"$1,701 ",500,59
2073,Ches Bonnell,UK,Peanut Butter Cubes,8/11/2021,"$10,269 ",324,541
2074,Jehu Rudeforth,UK,Orange Choco,8/11/2021,"$4,410 ",81,630
2075,Kaine Padly,UK,White Choc,8/12/2021,"$1,610 ",417,115
2076,Marney O'Breen,Canada,Choco Coated Almonds,8/12/2021,"$14,399 ",141,800
2077,Husein Augar,New Zealand,Spicy Special Slims,8/12/2021,"$1,169 ",310,49
2078,Kaine Padly,UK,Smooth Sliky Salty,8/12/2021,"$13,867 ",320,694
2079,Brien Boise,USA,70% Dark Bites,8/12/2021,"$2,261 ",89,283
2080,Mallorie Waber,India,Caramel Stuffed Bars,8/12/2021,"$2,394 ",171,83
2081,Van Tuxwell,Australia,Milk Bars,8/12/2021,"$5,243 ",30,228
2082,Beverie Moffet,New Zealand,99% Dark & Pure,8/12/2021,"$4,501 ",145,196
2083,Karlen McCaffrey,UK,Manuka Honey Choco,8/13/2021,"$2,513 ",144,77
2084,Karlen McCaffrey,Canada,Spicy Special Slims,8/13/2021,"$2,828 ",49,114
2085,Kaine Padly,USA,Orange Choco,8/13/2021,"$13,944 ",77,1550
2086,Jan Morforth,USA,Organic Choco Syrup,8/13/2021,"$3,136 ",63,112
2087,Curtice Advani,UK,Almond Choco,8/13/2021,"$6,587 ",214,347
2088,Kelci Walkden,New Zealand,Spicy Special Slims,8/13/2021,"$2,254 ",232,87
2089,Andria Kimpton,New Zealand,Orange Choco,8/13/2021,"$6,356 ",64,795
2090,Gunar Cockshoot,India,Eclairs,8/13/2021,"$2,688 ",312,168
2091,Roddy Speechley,Canada,Fruit & Nut Bars,8/13/2021,"$5,719 ",57,477
2092,Kelci Walkden,UK,White Choc,8/13/2021,$238 ,122,27
2093,Jan Morforth,India,Manuka Honey Choco,8/13/2021,"$3,486 ",62,113
2094,Beverie Moffet,India,Almond Choco,8/13/2021,"$4,228 ",190,193
2095,Karlen McCaffrey,UK,After Nines,8/16/2021,"$12,054 ",43,389
2096,Van Tuxwell,Australia,Baker's Choco Chips,8/16/2021,$777 ,360,52
2097,Husein Augar,India,Almond Choco,8/16/2021,"$1,281 ",266,81
2098,Beverie Moffet,India,Mint Chip Choco,8/16/2021,"$15,043 ",167,836
2099,Ches Bonnell,Canada,Milk Bars,8/16/2021,"$7,959 ",84,319
2100,Oby Sorrel,USA,Eclairs,8/16/2021,$651 ,107,31
2101,Ches Bonnell,USA,Baker's Choco Chips,8/16/2021,"$14,280 ",124,1190
2102,Ches Bonnell,Australia,Smooth Sliky Salty,8/16/2021,$672 ,190,42
2103,Dennison Crosswaite,India,Caramel Stuffed Bars,8/16/2021,$420 ,64,15
2104,Jehu Rudeforth,India,99% Dark & Pure,8/16/2021,"$9,527 ",220,397
2105,Husein Augar,USA,Choco Coated Almonds,8/16/2021,"$3,262 ",58,164
2106,Kaine Padly,Australia,Orange Choco,8/16/2021,"$5,201 ",107,401
2107,Andria Kimpton,UK,Manuka Honey Choco,8/16/2021,"$9,905 ",69,331
2108,Jehu Rudeforth,Australia,Choco Coated Almonds,8/16/2021,"$2,457 ",245,176
2109,Ches Bonnell,New Zealand,Eclairs,8/16/2021,"$8,890 ",11,494
2110,Kelci Walkden,USA,Eclairs,8/17/2021,"$1,960 ",66,109
2111,Rafaelita Blaksland,India,Choco Coated Almonds,8/17/2021,"$4,487 ",99,214
2112,Karlen McCaffrey,Australia,Baker's Choco Chips,8/17/2021,"$2,240 ",32,249
2113,Mallorie Waber,USA,Drinking Coco,8/17/2021,$308 ,445,14
2114,Wilone O'Kielt,Australia,Milk Bars,8/17/2021,"$1,568 ",30,61
2115,Dotty Strutley,India,Orange Choco,8/18/2021,"$6,510 ",536,465
2116,Beverie Moffet,UK,Organic Choco Syrup,8/18/2021,"$5,992 ",263,207
2117,Karlen McCaffrey,Canada,Drinking Coco,8/18/2021,$609 ,398,24
2118,Madelene Upcott,UK,99% Dark & Pure,8/18/2021,"$8,141 ",73,340
2119,Dennison Crosswaite,Australia,White Choc,8/18/2021,"$12,908 ",106,1174
2120,Dotty Strutley,New Zealand,85% Dark Bars,8/18/2021,$266 ,265,15
2121,Dotty Strutley,Australia,Choco Coated Almonds,8/18/2021,"$14,672 ",122,816
2122,Andria Kimpton,New Zealand,Manuka Honey Choco,8/18/2021,"$8,540 ",200,285
2123,Jehu Rudeforth,Canada,Raspberry Choco,8/18/2021,$546 ,145,26
2124,Roddy Speechley,Australia,Peanut Butter Cubes,8/18/2021,"$1,631 ",43,86
2125,Andria Kimpton,India,Fruit & Nut Bars,8/18/2021,$203 ,173,21
2126,Camilla Castle,Australia,85% Dark Bars,8/18/2021,"$3,451 ",21,165
2127,Marney O'Breen,New Zealand,Manuka Honey Choco,8/18/2021,"$9,303 ",14,282
2128,Dotty Strutley,USA,Choco Coated Almonds,8/18/2021,"$5,565 ",314,293
2129,Madelene Upcott,Canada,Baker's Choco Chips,8/18/2021,"$6,083 ",124,676
2130,Andria Kimpton,USA,Eclairs,8/18/2021,"$3,808 ",50,293
2131,Camilla Castle,Australia,Drinking Coco,8/18/2021,"$4,634 ",25,172
2132,Gigi Bohling,UK,50% Dark Bites,8/18/2021,"$1,085 ",50,68
2133,Madelene Upcott,Canada,Spicy Special Slims,8/19/2021,"$9,506 ",39,476
2134,Ches Bonnell,Canada,99% Dark & Pure,8/19/2021,"$6,468 ",323,270
2135,Ches Bonnell,USA,Peanut Butter Cubes,8/19/2021,"$10,766 ",106,490
2136,Husein Augar,India,After Nines,8/19/2021,"$2,359 ",53,91
2137,Van Tuxwell,New Zealand,Smooth Sliky Salty,8/19/2021,$273 ,227,21
2138,Camilla Castle,Australia,50% Dark Bites,8/19/2021,"$7,217 ",13,602
2139,Kaine Padly,Australia,Baker's Choco Chips,8/19/2021,"$8,386 ",7,560
2140,Barr Faughny,New Zealand,99% Dark & Pure,8/19/2021,"$13,111 ",43,625
2141,Andria Kimpton,USA,Peanut Butter Cubes,8/19/2021,$287 ,82,16
2142,Madelene Upcott,Australia,Spicy Special Slims,8/19/2021,"$11,795 ",204,492
2143,Wilone O'Kielt,Canada,Fruit & Nut Bars,8/19/2021,"$7,721 ",56,483
2144,Camilla Castle,New Zealand,Baker's Choco Chips,8/19/2021,$147 ,179,11
2145,Camilla Castle,Australia,70% Dark Bites,8/19/2021,"$2,891 ",32,207
2146,Curtice Advani,India,Fruit & Nut Bars,8/19/2021,$875 ,256,49
2147,Barr Faughny,UK,50% Dark Bites,8/19/2021,$910 ,38,102
2148,Andria Kimpton,USA,Baker's Choco Chips,8/20/2021,"$1,498 ",109,100
2149,Van Tuxwell,Canada,Mint Chip Choco,8/20/2021,"$1,099 ",123,74
2150,Andria Kimpton,Canada,After Nines,8/20/2021,$805 ,69,26
2151,Jehu Rudeforth,USA,Almond Choco,8/20/2021,"$2,268 ",119,152
2152,Dennison Crosswaite,USA,Milk Bars,8/20/2021,"$1,568 ",220,69
2153,Roddy Speechley,UK,White Choc,8/20/2021,$49 ,4,4
2154,Ches Bonnell,Canada,Drinking Coco,8/20/2021,"$12,558 ",133,503
2155,Camilla Castle,Australia,Eclairs,8/20/2021,"$2,856 ",199,179
2156,Kelci Walkden,New Zealand,Milk Bars,8/20/2021,$896 ,84,32
2157,Karlen McCaffrey,New Zealand,Almond Choco,8/20/2021,"$2,709 ",145,118
2158,Barr Faughny,Australia,Baker's Choco Chips,8/20/2021,"$1,729 ",326,217
2159,Roddy Speechley,New Zealand,Almond Choco,8/20/2021,"$5,215 ",250,326
2160,Marney O'Breen,UK,Smooth Sliky Salty,8/20/2021,"$1,008 ",205,56
2161,Andria Kimpton,USA,Manuka Honey Choco,8/20/2021,"$10,661 ",229,356
2162,Dotty Strutley,India,Fruit & Nut Bars,8/20/2021,"$6,713 ",154,560
2163,Ches Bonnell,Canada,After Nines,8/20/2021,"$5,320 ",98,190
2164,Beverie Moffet,USA,Raspberry Choco,8/20/2021,"$3,850 ",311,193
2165,Van Tuxwell,Australia,Peanut Butter Cubes,8/20/2021,$616 ,103,27
2166,Rafaelita Blaksland,USA,Fruit & Nut Bars,8/20/2021,"$3,318 ",139,237
2167,Ches Bonnell,India,Fruit & Nut Bars,8/20/2021,"$1,876 ",72,134
2168,Camilla Castle,New Zealand,Spicy Special Slims,8/20/2021,"$10,724 ",206,511
2169,Oby Sorrel,India,Drinking Coco,8/20/2021,"$1,757 ",239,61
2170,Kaine Padly,Australia,Raspberry Choco,8/20/2021,"$11,060 ",139,692
2171,Beverie Moffet,India,After Nines,8/20/2021,"$1,645 ",272,64
2172,Jehu Rudeforth,UK,Drinking Coco,8/23/2021,$952 ,267,34
2173,Mallorie Waber,India,Peanut Butter Cubes,8/23/2021,"$2,786 ",133,155
2174,Dotty Strutley,UK,Raspberry Choco,8/23/2021,"$8,659 ",391,394
2175,Mallorie Waber,UK,Orange Choco,8/23/2021,"$9,765 ",70,698
2176,Camilla Castle,Australia,White Choc,8/23/2021,"$6,314 ",106,451
2177,Roddy Speechley,New Zealand,Baker's Choco Chips,8/23/2021,"$4,431 ",91,296
2178,Camilla Castle,Australia,Mint Chip Choco,8/23/2021,"$1,918 ",107,113
2179,Gigi Bohling,UK,Choco Coated Almonds,8/23/2021,"$6,111 ",51,322
2180,Madelene Upcott,UK,Drinking Coco,8/23/2021,$329 ,378,13
2181,Andria Kimpton,USA,Mint Chip Choco,8/23/2021,"$6,146 ",169,473
2182,Camilla Castle,New Zealand,Smooth Sliky Salty,8/23/2021,"$4,529 ",13,324
2183,Mallorie Waber,India,Choco Coated Almonds,8/23/2021,"$3,241 ",23,232
2184,Jan Morforth,Australia,Raspberry Choco,8/24/2021,"$1,120 ",22,63
2185,Gunar Cockshoot,Australia,Mint Chip Choco,8/24/2021,$770 ,4,52
2186,Dennison Crosswaite,New Zealand,After Nines,8/24/2021,"$8,064 ",8,279
2187,Jan Morforth,India,Spicy Special Slims,8/24/2021,"$3,780 ",44,172
2188,Barr Faughny,Australia,Raspberry Choco,8/24/2021,"$1,211 ",224,58
2189,Wilone O'Kielt,India,Orange Choco,8/24/2021,"$2,338 ",120,167
2190,Andria Kimpton,Australia,Organic Choco Syrup,8/24/2021,"$1,666 ",126,54
2191,Brien Boise,New Zealand,Manuka Honey Choco,8/25/2021,"$1,057 ",206,38
2192,Jehu Rudeforth,India,Mint Chip Choco,8/25/2021,"$11,291 ",145,706
2193,Madelene Upcott,India,Eclairs,8/25/2021,"$5,103 ",236,243
2194,Marney O'Breen,USA,Baker's Choco Chips,8/25/2021,"$2,982 ",199,213
2195,Curtice Advani,USA,Milk Bars,8/25/2021,"$1,274 ",44,51
2196,Curtice Advani,UK,White Choc,8/26/2021,"$2,786 ",31,164
2197,Gigi Bohling,New Zealand,Mint Chip Choco,8/26/2021,"$7,609 ",270,401
2198,Dennison Crosswaite,Australia,Almond Choco,8/26/2021,"$5,285 ",86,265
2199,Curtice Advani,New Zealand,Fruit & Nut Bars,8/26/2021,$196 ,150,18
2200,Ches Bonnell,Australia,Baker's Choco Chips,8/26/2021,$945 ,175,63
2201,Wilone O'Kielt,Canada,Organic Choco Syrup,8/27/2021,"$8,638 ",318,376
2202,Gunar Cockshoot,India,Smooth Sliky Salty,8/27/2021,"$12,446 ",242,593
2203,Barr Faughny,USA,Choco Coated Almonds,8/27/2021,$140 ,80,7
2204,Ches Bonnell,UK,Choco Coated Almonds,8/27/2021,$903 ,206,43
2205,Roddy Speechley,UK,Choco Coated Almonds,8/27/2021,"$7,742 ",55,517
2206,Dotty Strutley,Australia,Caramel Stuffed Bars,8/27/2021,$525 ,18,21
2207,Oby Sorrel,New Zealand,White Choc,8/27/2021,"$8,428 ",50,937
2208,Mallorie Waber,Australia,85% Dark Bars,8/27/2021,$784 ,20,42
2209,Kelci Walkden,Canada,Mint Chip Choco,8/30/2021,"$4,403 ",288,294
2210,Madelene Upcott,USA,99% Dark & Pure,8/30/2021,"$1,022 ",124,45
2211,Karlen McCaffrey,UK,Smooth Sliky Salty,8/30/2021,"$10,080 ",242,720
2212,Mallorie Waber,India,Fruit & Nut Bars,8/30/2021,"$9,212 ",420,709
2213,Kelci Walkden,Australia,Fruit & Nut Bars,8/30/2021,"$7,392 ",184,740
2214,Marney O'Breen,Canada,Caramel Stuffed Bars,8/31/2021,"$6,174 ",130,229
2215,Wilone O'Kielt,Canada,After Nines,8/31/2021,"$2,709 ",102,105
2216,Wilone O'Kielt,Australia,Manuka Honey Choco,8/31/2021,"$9,303 ",77,333
2217,Oby Sorrel,New Zealand,Caramel Stuffed Bars,8/31/2021,"$2,401 ",14,101
2218,Brien Boise,UK,Drinking Coco,8/31/2021,$126 ,8,6
2219,Marney O'Breen,UK,85% Dark Bars,8/31/2021,"$2,695 ",50,118
2220,Ches Bonnell,New Zealand,Smooth Sliky Salty,8/31/2021,"$7,882 ",358,493
2221,Oby Sorrel,Australia,Milk Bars,8/31/2021,"$13,370 ",265,432
2222,Oby Sorrel,Canada,After Nines,8/31/2021,"$5,215 ",245,174
2223,Madelene Upcott,USA,50% Dark Bites,8/31/2021,"$12,978 ",239,1082
2224,Camilla Castle,USA,Drinking Coco,8/31/2021,"$15,813 ",41,688
2225,Roddy Speechley,India,Choco Coated Almonds,8/31/2021,$749 ,560,45
2226,Kelci Walkden,New Zealand,Peanut Butter Cubes,8/31/2021,"$6,020 ",304,241
2227,Andria Kimpton,USA,After Nines,8/31/2021,"$2,135 ",210,67
2228,Kaine Padly,India,Raspberry Choco,8/31/2021,"$10,927 ",221,608
2229,Rafaelita Blaksland,Australia,Raspberry Choco,8/31/2021,"$2,275 ",56,120
2230,Rafaelita Blaksland,New Zealand,Mint Chip Choco,8/31/2021,"$9,443 ",12,450
2231,Wilone O'Kielt,Australia,50% Dark Bites,8/31/2021,"$11,326 ",243,944
2232,Mallorie Waber,Canada,Spicy Special Slims,8/31/2021,"$2,100 ",352,105
2233,Camilla Castle,UK,Raspberry Choco,9/1/2021,"$1,127 ",236,54
2234,Gigi Bohling,India,Drinking Coco,9/1/2021,"$5,026 ",127,219
2235,Van Tuxwell,UK,Drinking Coco,9/1/2021,"$4,991 ",80,185
2236,Barr Faughny,India,White Choc,9/1/2021,$175 ,59,12
2237,Dotty Strutley,New Zealand,Milk Bars,9/1/2021,"$9,968 ",466,356
2238,Mallorie Waber,New Zealand,Smooth Sliky Salty,9/1/2021,"$4,977 ",142,277
2239,Oby Sorrel,India,After Nines,9/1/2021,"$3,423 ",178,123
2240,Jan Morforth,USA,Milk Bars,9/1/2021,"$7,952 ",86,319
2241,Curtice Advani,New Zealand,After Nines,9/1/2021,"$5,859 ",146,245
2242,Wilone O'Kielt,India,50% Dark Bites,9/1/2021,"$3,920 ",543,262
2243,Gunar Cockshoot,New Zealand,Manuka Honey Choco,9/1/2021,"$4,774 ",332,165
2244,Husein Augar,UK,Drinking Coco,9/1/2021,"$4,165 ",128,139
2245,Van Tuxwell,UK,99% Dark & Pure,9/1/2021,"$7,518 ",137,358
2246,Wilone O'Kielt,India,Peanut Butter Cubes,9/1/2021,"$4,249 ",74,237
2247,Ches Bonnell,New Zealand,Spicy Special Slims,9/1/2021,"$2,492 ",364,89
2248,Jan Morforth,UK,Spicy Special Slims,9/1/2021,"$4,914 ",7,176
2249,Jehu Rudeforth,New Zealand,Milk Bars,9/1/2021,"$6,132 ",88,212
2250,Camilla Castle,UK,Orange Choco,9/2/2021,$910 ,213,114
2251,Mallorie Waber,Canada,Raspberry Choco,9/2/2021,"$2,212 ",302,101
2252,Kelci Walkden,Australia,Organic Choco Syrup,9/2/2021,"$5,796 ",137,207
2253,Mallorie Waber,Australia,Mint Chip Choco,9/2/2021,"$20,181 ",414,1010
2254,Ches Bonnell,Australia,Fruit & Nut Bars,9/2/2021,"$6,272 ",198,571
2255,Mallorie Waber,New Zealand,Orange Choco,9/2/2021,"$3,171 ",99,244
2256,Karlen McCaffrey,UK,85% Dark Bars,9/2/2021,$567 ,230,27
2257,Gigi Bohling,Canada,Baker's Choco Chips,9/2/2021,"$1,701 ",398,171
2258,Dennison Crosswaite,Australia,Smooth Sliky Salty,9/3/2021,"$11,704 ",129,836
2259,Brien Boise,USA,Mint Chip Choco,9/3/2021,$420 ,85,25
2260,Madelene Upcott,UK,Orange Choco,9/3/2021,$840 ,115,60
2261,Gigi Bohling,Canada,White Choc,9/3/2021,"$9,940 ",311,663
2262,Gigi Bohling,Australia,Eclairs,9/3/2021,"$7,392 ",189,528
2263,Marney O'Breen,UK,Fruit & Nut Bars,9/3/2021,$434 ,246,28
2264,Kaine Padly,USA,50% Dark Bites,9/3/2021,"$2,982 ",72,187
2265,Jan Morforth,New Zealand,Manuka Honey Choco,9/6/2021,$357 ,139,11
2266,Andria Kimpton,Canada,Organic Choco Syrup,9/6/2021,"$12,999 ",134,500
2267,Gunar Cockshoot,UK,Mint Chip Choco,9/6/2021,"$3,920 ",110,280
2268,Barr Faughny,India,Almond Choco,9/6/2021,"$6,741 ",100,338
2269,Jehu Rudeforth,UK,Peanut Butter Cubes,9/6/2021,"$4,529 ",353,175
2270,Brien Boise,USA,50% Dark Bites,9/6/2021,"$4,340 ",80,543
2271,Barr Faughny,India,Spicy Special Slims,9/7/2021,"$10,262 ",5,467
2272,Karlen McCaffrey,New Zealand,Baker's Choco Chips,9/7/2021,"$5,845 ",108,488
2273,Oby Sorrel,Canada,Peanut Butter Cubes,9/7/2021,"$3,577 ",30,144
2274,Marney O'Breen,USA,Choco Coated Almonds,9/7/2021,"$5,789 ",54,414
2275,Dotty Strutley,Australia,99% Dark & Pure,9/8/2021,"$2,912 ",285,133
2276,Curtice Advani,Australia,Manuka Honey Choco,9/8/2021,$182 ,140,7
2277,Roddy Speechley,UK,Baker's Choco Chips,9/8/2021,"$5,152 ",29,573
2278,Mallorie Waber,India,Drinking Coco,9/8/2021,"$10,206 ",75,444
2279,Dennison Crosswaite,Canada,Drinking Coco,9/8/2021,"$4,347 ",73,189
2280,Marney O'Breen,India,Raspberry Choco,9/8/2021,"$4,935 ",520,260
2281,Ches Bonnell,Australia,85% Dark Bars,9/8/2021,"$1,813 ",490,96
2282,Brien Boise,Canada,Organic Choco Syrup,9/8/2021,"$2,289 ",105,74
2283,Ches Bonnell,USA,White Choc,9/8/2021,"$3,794 ",35,422
2284,Jan Morforth,USA,Caramel Stuffed Bars,9/9/2021,"$5,278 ",216,203
2285,Barr Faughny,New Zealand,Organic Choco Syrup,9/9/2021,"$2,940 ",112,95
2286,Husein Augar,India,Fruit & Nut Bars,9/9/2021,"$8,120 ",138,452
2287,Karlen McCaffrey,India,Smooth Sliky Salty,9/9/2021,"$5,565 ",55,279
2288,Madelene Upcott,Australia,Milk Bars,9/9/2021,"$1,526 ",94,64
2289,Mallorie Waber,New Zealand,Organic Choco Syrup,9/9/2021,"$9,611 ",5,418
2290,Jehu Rudeforth,UK,99% Dark & Pure,9/10/2021,"$7,518 ",197,342
2291,Dennison Crosswaite,UK,85% Dark Bars,9/10/2021,"$13,580 ",129,591
2292,Wilone O'Kielt,USA,Spicy Special Slims,9/10/2021,"$3,976 ",32,160
2293,Gigi Bohling,New Zealand,White Choc,9/10/2021,"$11,277 ",87,664
2294,Barr Faughny,Australia,Spicy Special Slims,9/10/2021,"$5,068 ",110,242
2295,Ches Bonnell,India,Orange Choco,9/10/2021,"$8,267 ",107,689
2296,Rafaelita Blaksland,India,99% Dark & Pure,9/10/2021,"$8,862 ",345,522
2297,Van Tuxwell,Canada,Drinking Coco,9/10/2021,"$15,015 ",360,653
2298,Curtice Advani,India,99% Dark & Pure,9/10/2021,"$4,438 ",135,247
2299,Kelci Walkden,Australia,99% Dark & Pure,9/10/2021,"$9,128 ",419,508
2300,Jehu Rudeforth,Canada,Choco Coated Almonds,9/10/2021,"$2,709 ",414,129
2301,Gigi Bohling,UK,Milk Bars,9/10/2021,"$15,960 ",18,639
2302,Marney O'Breen,India,Milk Bars,9/10/2021,"$5,439 ",199,182
2303,Wilone O'Kielt,Australia,99% Dark & Pure,9/10/2021,"$1,540 ",109,74
2304,Madelene Upcott,Australia,After Nines,9/10/2021,"$14,728 ",125,476
2305,Rafaelita Blaksland,India,After Nines,9/10/2021,"$4,704 ",200,157
2306,Beverie Moffet,Canada,Almond Choco,9/10/2021,"$1,540 ",108,74
2307,Ches Bonnell,New Zealand,Caramel Stuffed Bars,9/10/2021,"$11,109 ",88,428
2308,Jan Morforth,New Zealand,White Choc,9/10/2021,"$1,638 ",92,182
2309,Madelene Upcott,New Zealand,Eclairs,9/10/2021,"$2,541 ",98,128
2310,Kaine Padly,Canada,Peanut Butter Cubes,9/10/2021,$231 ,184,12
2311,Karlen McCaffrey,India,Peanut Butter Cubes,9/10/2021,"$11,249 ",70,490
2312,Barr Faughny,UK,Mint Chip Choco,9/10/2021,"$5,306 ",120,332
2313,Curtice Advani,Canada,85% Dark Bars,9/10/2021,"$2,079 ",164,123
2314,Brien Boise,New Zealand,85% Dark Bars,9/10/2021,"$1,148 ",113,61
2315,Jehu Rudeforth,Canada,Fruit & Nut Bars,9/13/2021,$322 ,123,33
2316,Kelci Walkden,UK,Organic Choco Syrup,9/13/2021,"$1,239 ",71,42
2317,Ches Bonnell,India,Milk Bars,9/13/2021,"$16,681 ",274,596
2318,Jehu Rudeforth,New Zealand,Mint Chip Choco,9/13/2021,$98 ,212,6
2319,Wilone O'Kielt,UK,After Nines,9/13/2021,"$5,649 ",134,202
2320,Ches Bonnell,USA,Choco Coated Almonds,9/13/2021,"$2,870 ",278,180
2321,Kaine Padly,New Zealand,Almond Choco,9/13/2021,"$4,151 ",184,219
2322,Andria Kimpton,Australia,Caramel Stuffed Bars,9/13/2021,"$3,962 ",64,159
2323,Roddy Speechley,New Zealand,Organic Choco Syrup,9/13/2021,"$7,119 ",41,238
2324,Gunar Cockshoot,USA,Organic Choco Syrup,9/13/2021,"$1,393 ",42,52
2325,Brien Boise,UK,Peanut Butter Cubes,9/13/2021,"$9,506 ",98,414
2326,Jan Morforth,Canada,99% Dark & Pure,9/13/2021,"$8,897 ",172,495
2327,Husein Augar,Australia,Choco Coated Almonds,9/13/2021,"$12,019 ",111,752
2328,Marney O'Breen,Australia,Spicy Special Slims,9/13/2021,"$12,439 ",160,622
2329,Gigi Bohling,India,Peanut Butter Cubes,9/13/2021,"$3,612 ",372,191
2330,Roddy Speechley,USA,99% Dark & Pure,9/13/2021,"$2,646 ",367,111
2331,Andria Kimpton,USA,Choco Coated Almonds,9/13/2021,$511 ,352,35
2332,Curtice Advani,New Zealand,Almond Choco,9/13/2021,"$4,207 ",7,192
2333,Madelene Upcott,Canada,Fruit & Nut Bars,9/13/2021,"$10,290 ",79,606
2334,Brien Boise,New Zealand,Drinking Coco,9/13/2021,"$6,069 ",287,264
2335,Dennison Crosswaite,USA,Drinking Coco,9/14/2021,"$12,292 ",82,410
2336,Kaine Padly,New Zealand,Baker's Choco Chips,9/14/2021,"$3,794 ",235,475
2337,Andria Kimpton,UK,Drinking Coco,9/14/2021,"$16,793 ",34,700
